ticket_id,status,issue_type,priority,summary,description,labels,story_points,epic_link,sprint
CHRONOS-113,Pending,Story,Critical,chore(dependencies): Lock all dependencies in pyproject.toml,Lock all Python dependencies with exact versions. Pin structlog requests python-dotenv psycopg2-binary. Run poetry lock. Test in fresh container.,"dependencies,reproducibility,devops",2,,Sprint 3
CHRONOS-111,Pending,Bug,High,fix(schema): Align ingestion_log schema with master_ingest.py,Update logging function to match ingestion_log table schema. Change to use series_id status records_inserted instead of source_series_id.,"database,schema,logging",1,,Sprint 3
CHRONOS-110,Pending,Story,High,chore(data): Clean invalid FRED series + Add Valet automation,Remove 6 invalid FRED series. Add Bank of Canada Valet API automation. Update master_ingest.py for Valet. Test full run.,"data-ingestion,automation,valet",5,,Sprint 3
CHRONOS-115,Pending,Story,High,feat(automation): Migrate daily ingestion to pgCron,Replace OS cron with PostgreSQL pg_cron extension. Install pg_cron. Create job function. Schedule daily 6am UTC. Migrate existing jobs.,"automation,database,devops",3,,Sprint 3
CHRONOS-96,Pending,Story,Low,chore(tooling): Install and configure GitHub CLI,Install gh CLI in dev container. Configure auth. Test PR creation from terminal. Add to Dockerfile.,"devops,tooling,devex",1,,Sprint 3
CHRONOS-114,Pending,Story,Medium,docs(operations): Create Sprint 2 completion documentation,Document Sprint 2 in Confluence and local markdown. Include achievements metrics lessons learned. Calculate velocity.,"documentation,sprint-review",2,,Sprint 3
CHRONOS-116,Pending,Epic,Highest,epic(business-ops): Email infrastructure migration and CRM setup,Migrate email from Zoho to Google Workspace. Set up HubSpot CRM. Regain DNS control. Professional email for client outreach.,"business-ops,infrastructure,marketing",21,,Sprint 3
CHRONOS-117,Pending,Story,Highest,spike(dns): Investigate BlueHost admin access and DNS control,Regain BlueHost access. Document DNS records. Assess Cloudflare migration. 2 hour timebox.,"business-ops,infrastructure,spike",3,CHRONOS-116,Sprint 3
CHRONOS-118,Pending,Story,Highest,feat(email): Migrate to Google Workspace Business Starter,Purchase Google Workspace. Verify domain. Configure MX SPF DKIM DMARC. Test deliverability. Import Zoho data.,"business-ops,email,infrastructure",5,CHRONOS-116,Sprint 3
CHRONOS-119,Pending,Story,High,feat(crm): Set up HubSpot CRM free tier,Create HubSpot account. Connect Gmail. Define deal stages. Import contacts. Configure pipeline. Install Chrome extension.,"business-ops,crm,sales",3,CHRONOS-116,Sprint 3
CHRONOS-120,Pending,Story,High,feat(marketing): Create email outreach sequences,Write 3 email sequences for cold outreach. Cold intro follow-up re-engagement. Save in HubSpot. A/B test variants.,"business-ops,marketing,sales",3,CHRONOS-116,Sprint 3
CHRONOS-121,Pending,Story,Medium,chore(dns): Document current DNS configuration,Use dig to document all DNS records. Store in Confluence local markdown and 1Password. Create recovery procedure.,"business-ops,infrastructure,documentation",1,CHRONOS-116,Sprint 3
CHRONOS-25,Pending,Story,Low,feat(tooling): Integrate Mermaid to Excalidraw workflow,Install Mermaid CLI. Create workflow for converting .mmd to SVG to Excalidraw. Document in /docs/workflows/.,"devex,tooling,documentation",2,,Sprint 3
CHRONOS-26,Pending,Story,Low,feat(tooling): Create VS Code timestamp snippet,Add timestamp snippet to VS Code. Keybinding Ctrl+Shift+T. Works in markdown files.,"devex,tooling",1,,Sprint 3
CHRONOS-122,Pending,Story,High,spike(automation): Jira API bulk ticket creation system,Build Jira ticket auto-creation from CSV catalog. Mimics FRED pattern. Test with pending tickets. ROI under 1 week.,"automation,jira,api,devex",2,,Sprint 3
